LicenseNumber,LicenseName,CE ID,LicenseType,LicenseStatus,County
23926610187861506378,GOOD CHEMISTRY NEVADA LLC,C125,Retail Cultivation,Surrendered,WASHOE
24113490186424303966,LONE MOUNTAIN PARTNERS LLC,RD601,Retail Dispensary,Surrendered,MINERAL
25797484302216396394,MediFarm II LLC,P062,Medical Production,Surrendered,WASHOE
26182831543247670487,BBMC LLC,P036,Medical Production,Surrendered,CLARK
27915808311612280278,GROW WASHOE LLC,RC049,Retail Cultivation,Surrendered,WASHOE
28844039441876607275,MM LAB INC,RL005,Retail Laboratory,Surrendered,CLARK
29794458243446242506,TAHOE-RENO EXTRACTIONS LLC,P129,Medical Production,Surrendered,CHURCHILL
30569933850814657981,WENDOVERA LLC,C191,Medical Cultivation,Surrendered,ELKO
31592905994866250470,RURAL REMEDIES LLC,P127,Medical Production,Surrendered,LANDER
32556765306693946119,PHENOFARM NV LLC,C172,Medical Cultivation,Surrendered,CLARK
33437735464752734691,HSH Lyon LLC,P123,Medical Production,Surrendered,LYON
33908301404392125076,Moms Meds Management L.L.C.,P134,Medical Production,Revoked,LYON
34409526505875187375,WENDOVERA LLC,P126,Medical Production,Surrendered,ELKO
34621288823827225440,WSCC INC,RC099,Retail Cultivation,Surrendered,WASHOE
35008945406392365324,ECONEVADA LLC,RC176,Retail Cultivation,Surrendered,CLARK
36077409004644679489,BIONEVA INNOVATIONS OF WASHOE COUNTY LLC,C117,Medical Cultivation,Surrendered,WASHOE
36099241065884686397,Moms Meds Management L.L.C.,C204,Medical Cultivation,Revoked,LYON
36494503447351617597,BBMC LLC,RP036,Retail Production,Surrendered,CLARK
37841996009528800127,WSCC INC,RP071,Retail Production,Surrendered,CARSON CITY
38231836152489695182,MEDICAL CANNABIS HEALING LLC,C163,Medical Cultivation,Surrendered,CLARK
38640867395488003985,MMNV2 HOLDINGS III LLC,C022,Medical Cultivation,Revoked,CARSON CITY
3872919721959479596,American Specialty Lab LLC,L011,Medical Laboratory,Revoked,CLARK
39084961615736303651,CWNEVADA LLC,P010,Medical Production,Revoked,NYE
42764648009006859903,CN LICENSECO I INC,RC095,Retail Cultivation,Surrendered,CLARK
43063793175309537942,Cannabis Renaissance Group LLC,P117,Medical Production,Surrendered,CLARK
43488759349697830173,LONE MOUNTAIN PARTNERS LLC,RD595,Retail Dispensary,Surrendered,WHITE PINE
44158710700099453245,LVMC C&P LLC,RC081,Retail Cultivation,Surrendered,CLARK
44328818183214401988,5 SEAT INVESTMENTS LLC,C053,Medical Cultivation,Surrendered,WASHOE
45524894396296300516,CANALYSIS NEVADA LLC,L017,Medical Laboratory,Surrendered,CLARK
46035807919167843070,Cannabis Renaissance Group LLC,C182,Medical Cultivation,Surrendered,CLARK
47374520097662077843,TAHOE-RENO BOTANICALS LLC,C194,Medical Cultivation,Surrendered,CHURCHILL
47979982407142205755,BIONEVA INNOVATIONS OF WASHOE COUNTY LLC,P072,Medical Production,Surrendered,WASHOE
48047230823549064780,THREE CUPS YARD NORTH AMERICA LLC,C143,Medical Cultivation,Surrendered,CLARK
48714735770603244223,EXHALE BRANDS NEVADA LLC,P048,Retail Production,Surrendered,CLARK
49482059957736466451,KAYAS KITCHEN LLC,P100,Retail Production,Surrendered,WASHOE
49821527674255951574,LVMC C&P LLC,RP052,Retail Production,Surrendered,CLARK
50174495817697157088,BIONEVA INNOVATIONS OF WASHOE COUNTY LLC,RP072,Retail Production,Surrendered,WASHOE
51764428363592009905,RED ROCK RECREATIONAL LLC,T004,Retail Distributor,Surrendered,CLARK
52922406301834849379,RURAL REMEDIES LLC,C192,Medical Cultivation,Surrendered,LANDER
53527639048691065500,MM R & D LLC,D095,Medical Dispensary,Surrendered,STOREY
55098825040149065051,HIGH SIERRA CULTIVATION LLC,RC174,Retail Cultivation,Surrendered,CARSON CITY
56676769975126978146,Via Vida LLC,C061,Medical Cultivation,Revoked,CLARK
56807514273854253751,ECONEVADA LLC,RP111,Retail Production,Surrendered,CLARK
58113349031251538626,CWNEVADA LLC,RP010,Retail Production,Revoked,NYE
58292562839786177968,WSCC INC,RC098,Retail Cultivation,Surrendered,CARSON CITY
60173743905897918994,LVMC C&P LLC,P052,Medical Production,Surrendered,CLARK
60223731244971205330,Mohawk Labs LLC,L019,Medical Laboratory,Revoked,CLARK
60375575493304646593,GRAVITAS HENDERSON LLC,C016,Retail Cultivation,Surrendered,CLARK
63740881616471730651,Natural Baked Goods LLC,P030,Medical Production,Revoked,CLARK
64458963066306661796,GFIVE CULTIVATION LLC,C075,Retail Cultivation,Surrendered,CLARK
65021684462139194060,BOULEVARD MEDICAL LLC,C080,Medical Cultivation,Surrendered,CLARK
65718602685441182548,HSH Lyon LLC,C187,Medical Cultivation,Surrendered,LYON
65825787484432698193,Silver Magnolia LLC,C170,Medical Cultivation,Surrendered,CLARK
66052523030112921242,TRYKE COMPANIES RENO LLC,C032,Medical Cultivation,Surrendered,WASHOE
