LicenseNumber,LicenseName,CE ID,LicenseType,LicenseStatus,County
67137974857763470339,SILVER SAGE WELLNESS LLC,P022,Retail Production,Active,CLARK
67152141156911857339,NULEAF RENO PRODUCTION LLC,P061,Retail Production,Active,WASHOE
67391843247886555156,NEVADAPURE LLC,D019,Retail Dispensary,Active,CLARK
67501179020484699802,GLP LAS VEGAS LLC,D178,Retail Dispensary,Active,CLARK
67664169559680064201,NATURAL MEDICINE LLC,D145,Retail Dispensary,Active,CLARK
67921128221276401437,TONOPAH FARM LLC,C184,Retail Cultivation,Active,ESMERALDA
68051053914819427603,MM DEVELOPMENT COMPANY INC,T051,Retail Distributor,Active,CLARK
68465280204941344633,CLARK NATURAL MEDICINAL SOLUTIONS LLC,P108,Retail Production,Active,CLARK
68654169444367146618,374 LABS LLC,L012,Retail Laboratory,Active,WASHOE
69204305475717257553,DB LABS LLC,L003,Retail Laboratory,Active,CLARK
69272354565432352821,GTI NEVADA LLC,P057,Retail Production,Active,CARSON CITY
69404716747838939574,NV 3480 PARTNERS LLC,C058,Retail Cultivation,Active,CLARK
69687373559494639347,TGIG LLC,T081,Retail Distributor,Active,NYE
69823478351682033556,CULTIVATION AP LLC,C037,Retail Cultivation,Active,CLARK
70155083229545863037,INTEGRAL CULTIVATION LLC,C028,Retail Cultivation,Active,CLARK
71064968398758187793,SILVER STATE RELIEF LLC,D204,Retail Dispensary,Active,LYON
71224329369156133247,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,D051,Retail Dispensary,Active,CLARK
71702389611437559364,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,D017,Retail Dispensary,Active,WASHOE
72326121663352213340,CANNAVATIVE EXTRACTS LLC,P043,Retail Production,Active,WASHOE
72379193611776921142,LONE MOUNTAIN PARTNERS LLC,RD590,Retail Dispensary,Active,CLARK
73000340130776760476,DEEP ROOTS HARVEST INC.,C070,Retail Cultivation,Active,CLARK
73296521059198028231,PURE TONIC CONCENTRATES LLC,P067,Retail Production,Active,WASHOE
73911129313774416305,FORTRESS EQUITIES ORCL LLC,C011,Retail Cultivation,Active,NYE
74226113309081700669,ALTERNATIVE MEDICINE ASSOCIATION LC,P096,Retail Production,Active,CLARK
74948399079730658451,GREENSCAPE PRODUCTIONS LLC,C136,Retail Cultivation,Active,CLARK
75203668337906025844,CLEAR RIVER LLC,D108,Retail Dispensary,Active,CLARK
75650075113718192894,DEEP ROOTS ARIA ACQCO INC,C062,Retail Cultivation,Active,NYE
75726821461576041628,CORLEONE WINES LLC,T001,Retail Distributor,Active,CLARK
76170147149504770817,MM DEVELOPMENT COMPANY INC,RD215,Retail Dispensary,Active,CLARK
76684918131687038904,CIRCLE S FARMS LLC,T019,Retail Distributor,Active,CLARK
76816813303097791333,GLOBAL HARMONY LLC,D004,Retail Dispensary,Active,CLARK
76890766994970149940,ACRES CULTIVATION LLC,P012,Retail Production,Active,NYE
77486514896179438118,SERENITY WELLNESS GROWERS LLC,C039,Retail Cultivation,Active,CLARK
77505483208802721121,COMMERCE PARK MEDICAL LLC,D027,Retail Dispensary,Active,CLARK
77632992333764442110,SOUTHERN NEVADA GROWERS LLC,C142,Retail Cultivation,Active,CLARK
77903356343424586888,NULEAF INCLINE DISPENSARY LLC,D068,Retail Dispensary,Active,WASHOE
78144331956059463801,TRNVP098 LLC,P098,Retail Production,Active,CLARK
78183023264727429508,CLEAR RIVER LLC,D087,Retail Dispensary,Active,CLARK
78652642552793589227,VEGAS VALLEY GROWERS LLC,C006,Retail Cultivation,Active,CLARK
78954038908132787261,LONE MOUNTAIN PARTNERS LLC,C122,Retail Cultivation,Active,CLARK
79484750509886968559,SERENITY WELLNESS PRODUCTS LLC,P024,Retail Production,Active,CLARK
79705307867248690408,REDWOOD WAREHOUSE LLC,T071,Retail Distributor,Active,CLARK
79761996911533444360,CIRCLE S FARMS LLC,P093,Retail Production,Active,CLARK
79806207400948405980,BAM C144 LLC,C144,Retail Cultivation,Active,CLARK
79925795421142703661,TRNVC151 LLC,C151,Retail Cultivation,Active,CLARK
80395085734400669278,3AP INC,T008,Retail Distributor,Active,CLARK
80830710815182018092,DIVERSIFIED MODALITIES MARKETING LTD,C152,Retail Cultivation,Non-Operational,CLARK
80837442451882742542,BCCNEVADA LLC,P037,Retail Production,Active,CARSON CITY
80858076313151684223,DEC OPS NV LLC,C010,Retail Cultivation,Active,CLARK
81025571831032623431,MBNV INVESTMENTS LLC,C078,Retail Cultivation,Active,CLARK
81154974231636348055,GREENLEAF WELLNESS INC,D056,Retail Dispensary,Active,WASHOE
81521595921502470043,MA & ASSOCIATES LLC,L002,Retail Laboratory,Active,CLARK
82173569886482063410,VEGAS VALLEY GROWERS LLC,P006,Retail Production,Active,CLARK
82242105356156705653,TGIG LLC,C041,Retail Cultivation,Active,CLARK
82874714255089649168,NYE NATURAL MEDICINAL SOLUTIONS LLC,C166,Retail Cultivation,Active,NYE
83760475147127946601,WAVESEER OF LAS VEGAS LLC,D132,Retail Dispensary,Active,CLARK
84492500962215939022,DB PROCESSING LLC,P132,Retail Production,Active,LINCOLN
84716656554039635124,EUPHORIA WELLNESS LLC,D161,Retail Dispensary,Active,CLARK
85529550360873527457,ALTERNATIVE MEDICINE ASSOCIATION LC,C087,Retail Cultivation,Active,CLARK
85577035657658637557,CHEYENNE MEDICAL RENO RD265 LLC,RD265,Retail Dispensary,Active,WASHOE
86197696254559983253,NEVADA GROUP WELLNESS LLC,T053,Retail Distributor,Active,CLARK
86917349659898787217,HEALING GARDENS LLC,C065,Retail Cultivation,Active,WASHOE
87529746323214502953,REDWOOD WAREHOUSE LLC,C029,Retail Cultivation,Active,CLARK
88066209745143423581,HIGH SIERRA HOLISTICS LLC,RD219,Retail Dispensary,Active,WASHOE
88234039028324550335,GRAVITAS NEVADA LTD,C017,Retail Cultivation,Active,CLARK
88485267558396597365,NEVADA WHOLESALERS LLC,T005,Retail Distributor,Active,WASHOE
88979305974946506142,BCCNEVADA LLC,C054,Retail Cultivation,Non-Operational,CARSON CITY
89159011597971380984,SUNDAE CO LLC,P124,Retail Production,Active,CARSON CITY
