Business_Name,Street,City,State,ZIP,Recreational,Medical,Delivery,Microbusiness,Consumption_Area,Raw_Type
Mountain View Farmacy,74 Oak Ridge Rd,Oak Ridge,NJ,07438,1,,,1,,Microbusiness |\nRecreational cannabis
NAR Cannabis,4004 Church Rd,Mt Laurel Township,NJ,08054,1,,,,,Recreational cannabis
Natural Apothecary,27 Washington Ave,Belleville,NJ,07109,1,,1,,,Recreational cannabis |\nOffers delivery
Nature’s Motivation,1095 Clinton Ave,Irvington,NJ,07111,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
Nevaeh Verde Dispensary,176 Belmont Ave,Belleville,NJ,07109,1,,1,,,Recreational cannabis |\nOffers delivery
New Era Dispensary,80-88 Main St,South Bound Brook,NJ,08880,1,,,,,Recreational cannabis
New Frontier Solutions,473 E Broadway,Salem,NJ,08079,1,,,,,Recreational cannabis
Nightjar,549 Bloomfield Ave,Bloomfield,NJ,07003,1,,,,,Recreational cannabis
Nile of NJ,5409 Bergenline Ave,West New York,NJ,07093,1,,1,,,Recreational cannabis |\nOffers delivery
Nirvana,1134 NJ-73,Mt Laurel Township,NJ,08054,1,,,1,,Microbusiness |\nRecreational cannabis
NJ Leaf Keansburg,77 NJ-36,Keansburg,NJ,07734,1,,,,,Recreational cannabis
NJ Pure,"A-10, 4313 US-130",Edgewater Park,NJ,08010,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
Noire Dispensary,171 Maplewood Ave,Maplewood,NJ,07040,1,,,1,,Microbusiness |\nRecreational cannabis
Northeast Alternatives Dispensary,780 US-130,Hamilton Township,NJ,08691,1,,,,,Recreational cannabis
Nova Farms,642 Mantua Pike,Woodbury,NJ,08096,1,,,,,Recreational cannabis
Ohm Theory,213 US-46,Elmwood Park,NJ,07407,1,,,,,Recreational cannabis
One Green Leaf,95 Lakeview Dr N,Gibbsboro,NJ,08026,1,,,,,Recreational cannabis
Organic Farms,2895 Mt Ephraim Ave,Camden,NJ,08104,1,,,1,,Microbusiness |\nRecreational cannabis
Organic Fusion Dispensary,1114 Springfield Ave,Irvington,NJ,07111,1,,,,,Recreational cannabis
OTC Jersey,167 New Jersey Ave,Absecon,NJ,08201,1,,,,,Recreational cannabis
Phasal,1100 N Black Horse Pike,Runnemede,NJ,08078,1,,,,,Recreational cannabis
Phula,60-62 High St,Mt Holly,NJ,08060,1,,,,,Recreational cannabis
Plant Base,148 E 2nd St,Plainfield,NJ,07060,1,,,,,Recreational cannabis
Plantabis,2077 US-1,Rahway,NJ,07065,1,,,,,Recreational cannabis
Plantopia,37 Main St,Englishtown,NJ,07726,1,,,1,,Microbusiness |\nRecreational cannabis
PPP Dispensary,3001 Atlantic Ave,Atlantic City,NJ,08401,1,,,,,Recreational cannabis
Premo,2 E Front St,Keyport,NJ,07735,1,,1,,,Recreational cannabis |\nOffers delivery
Public Absecon,792a White Horse Pike,Absecon,NJ,08201,1,,,,,Recreational cannabis
Puffin Store,382 George St,New Brunswick,NJ,08901,1,,1,,,Recreational cannabis |\nOffers delivery
Pure Blossom,2554 Pennington Rd,Pennington,NJ,08534,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
Pure Natural Vibes,470 Prospect Ave,West Orange,NJ,07052,1,,,1,,Microbusiness |\nRecreational cannabis
Quality Cannabliss,1610 N Black Horse Pike,Blackwood,NJ,08012,1,,,1,,Microbusiness |\nRecreational cannabis
Quality Roots,850 Rte 70 W,Marlton,NJ,08053,1,,,,,Recreational cannabis
Queen City Remedies,1353 South Ave,Plainfield,NJ,07062,1,,,,,Recreational cannabis
Releaf Cannabis,1024 S Black Horse Pike,Williamstown,NJ,08094,1,,,,,Recreational cannabis
Releaf Newton,78 Mill St,Newton,NJ,07860,1,,,,,Recreational cannabis
"""Rollin' Green""",1011 Arctic Ave,Atlantic City,NJ,08401,1,,1,,,Recreational cannabis |\nOffers delivery
