name,slug
Derg Corra Collective,dergcorracollective
Desert King Mountain High Seed Co.,desertkingmountainhighseed
Diamond Rock Genetics,diamondrock
Digital Genetics,digital
Dinafem,dinafem
Dino Party,dinoparty
Dirt Farmer Genetics,dirtfarmer
Dirtbag Seed Co.,dirtbagseed
Dirty Bird Genetics,dirtybird
Dirty Water Organics,dirtywaterorganics
Dirty Worms Farm,dirtyworms
Dispensario Seeds,dispensario
Divine Genetics,divine
Divine Seeds,divine
Dixie Underground Blends,dixieundergroundblends
Dizzy Duck Seeds,dizzyduck
Dman Seeds,dman
Doc's Dank Seeds,docsdank
Doctor's Choice,doctorschoice
Doctor Psicote 422,doctorpsicote422
Dog Pound Genetic's,dogpound
Dojo Seed Co.,dojoseed
Dolla Seedz,dollaseedz
Dominion Seed Company,dominionseed
Domus Seeds,domus
Don Avalanche Seeds,donavalanche
Dopamine Seeds,dopamine
Dope Seeds,dope
Doug's Nugs,dougsnugs
Dr. Atomic Seeds,dratomic
Dr. Blaze,drblaze
Dr. Cilantro Genetics,drcilantro
Dr. Genetics,dr
Dr. Greenthumb,drgreenthumb
Dr. Grow's Productions,drgrows
Dr. Hemps Seeds,drhemps
Dr. Krippling Seeds,drkrippling
Dr. Underground,drunderground
Dr Fingerleaf,drfingerleaf
Dragons Flame Genetics,dragonsflame
Dready Seeds,dready
Driftless Genetics LLC,driftlessgenetics
Driftwood Genetics,driftwood
Drohammad Seeds,drohammad
Dry Cuban Genetics,drycuban
Dubchase,dubchase
Duffles,duffles
Duke Diamonds Vault,dukediamondsvault
Dungeon Of Dank Genetics,dungeonofdank
Dungeons Vault Genetics,dungeonsvault
Duppy Sensi Genetics,duppysensi
Dutch-Headshop,dutchheadshop
DutchBreed,dutchbreed
DutchFem,dutchfem
Dutch Flowers,dutchflowers
Dutch Passion,dutchpassion
Dutch Quality Seeds,dutchquality
Dutchgrown Seeds,dutchgrown
Duty Free Seeds,dutyfree
DwarvenForged,dwarvenforged
Dying Breed Seeds,dyingbreed
