url,name,homepage
https://seedfinder.eu/en/database/breeder/author-seeds,Author Seeds,https://authorseed.com/
https://seedfinder.eu/en/database/breeder/autofem-seeds,AutoFem Seeds,https://web.archive.org/web/20120226072057/http://www.autofem.com/
https://seedfinder.eu/en/database/breeder/auto-seeds,Auto Seeds,http://www.autoseeds.com/
https://seedfinder.eu/en/database/breeder/automaris,Automaris,http://automaris.com
https://seedfinder.eu/en/database/breeder/avalanche-genetics,Avalanche Genetics,https://www.instagram.com/avalanche_genetics/
https://seedfinder.eu/en/database/breeder/avalon-garden,Avalon Garden,
https://seedfinder.eu/en/database/breeder/awka-semillas,Awka Semillas,www.awkasemillas.com
https://seedfinder.eu/en/database/breeder/azmeds,AzMeds,https://www.instagram.com/azmeds/profilecard/?igsh=MTlnOTZ1MHQ4NHQ1dw==
https://seedfinder.eu/en/database/breeder/azarius-seeds,Azarius Seeds,https://azarius.net/seedshop/azarius-seeds/
https://seedfinder.eu/en/database/breeder/aztech-genetics,Aztech Genetics,http://aztechsmokeshop.co.uk/
https://seedfinder.eu/en/database/breeder/b-dub-genetics,B-dub Genetics,https://www.instagram.com/bdubgenetics/
https://seedfinder.eu/en/database/breeder/bc-bud-depot,B.C. Bud Depot,https://www.bcbuddepot.com/
https://seedfinder.eu/en/database/breeder/bc-grown,B.C. Grown,
https://seedfinder.eu/en/database/breeder/big-seeds,B.I.G. Seeds,http://www.bcnbest.jimdo.com
https://seedfinder.eu/en/database/breeder/bog-seeds,B.O.G. Seeds,https://www.facebook.com/bog.seeds
https://seedfinder.eu/en/database/breeder/b-seeds-co,B. Seeds Co.,http://www.bseedsco.com/
https://seedfinder.eu/en/database/breeder/bama-seeds,BAMA Seeds,http://www.bamaseeds.com
https://seedfinder.eu/en/database/breeder/bc-growers-association,BC Growers Association,http://www.cannabase.com/cl/bcga/bcg.htm
https://seedfinder.eu/en/database/breeder/bcn-seeds,BCN Seeds,http://bcnseeds.com/
https://seedfinder.eu/en/database/breeder/bj-cannabis-co,BJ Cannabis Co.,https://www.instagram.com/bjcannabisco/
https://seedfinder.eu/en/database/breeder/bsb-genetics,BSB Genetics,http://www.bsbgenetics.com/
https://seedfinder.eu/en/database/breeder/bsf-seeds,BSF Seeds,https://www.bsfseeds.com/
https://seedfinder.eu/en/database/breeder/bsv-genetics,BSV Genetics,https://www.blackstoneseedbank.com/
https://seedfinder.eu/en/database/breeder/baby-zeus-genetics,Baby Zeus Genetics,https://sites.google.com/view/babyzeusgenetics/home
https://seedfinder.eu/en/database/breeder/babylon-seeds-bank,Babylon Seeds Bank,http://www.babylonseedsbank.es
https://seedfinder.eu/en/database/breeder/backcountryresin,BackCountryResin,https://www.instagram.com/backcountryresin
https://seedfinder.eu/en/database/breeder/backcountry-farms,Backcountry Farms,https://www.backcountryfarmz.com/the-shop/From-The-Vault-Collection-c55035498
https://seedfinder.eu/en/database/breeder/backyard-boogie,Backyard Boogie,https://www.instagram.com/backyardboogiebeans42/
https://seedfinder.eu/en/database/breeder/bad-dawg-freebies,Bad Dawg Freebies,
https://seedfinder.eu/en/database/breeder/bad-fish-genetics,Bad Fish Genetics,https://www.badfishseeds.com/
https://seedfinder.eu/en/database/breeder/baked-beans-cannabis-seeds,Baked Beans Cannabis Seeds,http://www.bakedbeans-cannabis-seeds.com/
https://seedfinder.eu/en/database/breeder/baked-beanz,Baked Beanz,
https://seedfinder.eu/en/database/breeder/baked-botany,Baked Botany,https://www.instagram.com/bakedbotany/
https://seedfinder.eu/en/database/breeder/bald-monkey-seeds,Bald Monkey Seeds,
https://seedfinder.eu/en/database/breeder/lala-seeds,Bald man Lala Seeds,
https://seedfinder.eu/en/database/breeder/banana-peel-genetics,Banana Peel Genetics,https://www.instagram.com/bananapeelgenetics/
https://seedfinder.eu/en/database/breeder/barba-seeds,Barba Seeds,https://www.instagram.com/barbaseeds/
https://seedfinder.eu/en/database/breeder/bardi-green-voohoo-genetics,Bardi Green Voohoo Genetics,http://www.voohoogenetics.com
