License_Number,Business_Name,License_Type,License_Status,Street,City,State,ZIP,Expiration_Date,Home_Delivery,Disciplinary_Action,Notes,Source
PC-000234,"Nature's ReLeaf Burton, Inc.",Provisioning Center - License,Closed,4086 South Dort HWY,Burton,MI,48529,07/18/2023,Approved,,,medical
PC-000290,Gage Cannabis Company,Provisioning Center - License,Closed,1551 Academy ST,Ferndale,MI,48220,07/18/2025,Approved,Public Documents Available,,medical
PC-000281,Skymint,Provisioning Center - License,Closed,8474 S Mason DR,Newaygo,MI,49337,10/18/2022,Approved,,,medical
PC-000286,QPS 20327 Groesbeck LLC,Provisioning Center - License,Closed,20327 Groesbeck HWY,Detroit,MI,48205,07/15/2020,Approved,,,medical
PC-000301,Freddie's,Provisioning Center - License,Closed,10092 N Dort HWY Suite B,Clio,MI,48420,07/15/2021,Approved,Public Documents Available,,medical
PC-000185,"Bella Sol Wellness Centers of Michigan, LLC",Provisioning Center - License,Closed,1839 Peck ST Suite B,Muskegon,MI,49441,07/12/2023,Approved,Public Documents Available,,medical
PC-000130,Herbal Healing of River Rouge LLC,Provisioning Center - License,Closed,261 Burke ST,River Rouge,MI,48218,07/09/2020,Approved,,,medical
PC-000041,"Erba Care, LLC",Provisioning Center - License,Closed,8680 E Eight Mile Rd,Detroit,MI,48234,07/09/2020,,,,medical
PC-000036,"Third Coast of Ypsilanti, LLC",Provisioning Center - License,Closed,19 N. Hamilton ST,Ypsilanti,MI,48197,07/08/2020,,,,medical
PC-000294,"Skymint, LLC",Provisioning Center - License,Closed,4330 Wilder RD,Bay City,MI,48706,07/02/2020,Approved,,,medical
PC-000298,Liv Wellness,Provisioning Center - License,Closed,2625 Hilton RD Suite 100,Ferndale,MI,48220,06/28/2022,,Public Documents Available,,medical
PC-000287,Terp Town Inc,Provisioning Center - License,Closed,2807 S. Huron RD,Kawkawlin,MI,48631,06/28/2020,,,,medical
PC-000267,The Remeddi Station,Provisioning Center - License,Closed,302 E Huron AVE,Vassar,MI,48768,02/21/2024,Approved,Public Documents Available,,medical
PC-000293,Green Buddha of Ferndale,Provisioning Center - License,Closed,1921 Hilton RD,Ferndale,MI,48220,06/27/2023,Approved,Public Documents Available,,medical
PC-000269,Green Cross,Provisioning Center - License,Closed,14239 West Eight Mile RD,Detroit,MI,48235,06/18/2021,Approved,,,medical
PC-000073,Edgewood Wellness LLC,Provisioning Center - License,Closed,134 E. Edgewood BLVD,Lansing,MI,48911,06/21/2022,,Public Documents Available,,medical
PC-000258,Consano,Provisioning Center - License,Closed,309 W Michigan ST,Mt Pleasant,MI,48858,06/14/2022,Approved,,,medical
PC-000278,Southwest Meds,Provisioning Center - License,Closed,6237 Federal ST,Detroit,MI,48209,04/25/2023,Approved,Public Documents Available,,medical
PC-000265,Curaleaf,Provisioning Center - License,Closed,2732 Jackson AVE,Ann Arbor,MI,48103,06/07/2024,Approved,Public Documents Available,,medical
PC-000158,Greenways Provisioning Center,Provisioning Center - License,Active,4568 M 30,Beaverton,MI,48612,06/13/2026,Approved,Public Documents Available,,medical
PC-000125,Green Pharm Detroit,Provisioning Center - License,Closed,2619 S. Schaefer HWY,Detroit,MI,48217,06/10/2023,Approved,Public Documents Available,,medical
PC-000191,Curaleaf,Provisioning Center - License,Closed,133 West Monroe ST,Bangor,MI,49013,06/07/2024,Approved,Public Documents Available,,medical
PC-000275,"The Pure Lapeer, LLC",Provisioning Center - License,Closed,1330 Imlay City RD Unit A-D,Lapeer,MI,48446,06/06/2025,Approved,Public Documents Available,,medical
PC-000116,House of Zen,Provisioning Center - License,Closed,14501 Mack AVE,Detroit,MI,48215,06/03/2023,Approved,Public Documents Available,,medical
PC-000143,Green Guild Inc.,Provisioning Center - License,Closed,160 N. Washington ST,Constantine,MI,49042,06/01/2020,,Public Documents Available,,medical
PC-000274,Consume Cannabis Lapeer,Provisioning Center - License,Active,2401 W Genesee ST,Lapeer,MI,48446,05/28/2026,Approved,Public Documents Available,,medical
PC-000168,Corner Stone Wellness,Provisioning Center - License,Closed,3316 South Martin Luther King Jr. BLVD,Lansing,MI,48910,05/30/2020,,,,medical
PC-000169,Pure Options - Lansing Eastside,Provisioning Center - License,Closed,1900 East Kalamazoo ST,Lansing,MI,48912,05/28/2022,,Public Documents Available,,medical
PC-000181,Green Culture,Provisioning Center - License,Closed - Suspended,808 South Center RD Suite D,Flint,MI,48506,05/23/2023,Approved,Public Documents Available,,medical
PC-000239,"Bacco Farms, LLC",Provisioning Center - License,Closed,6200 N Dort HWY,Flint,MI,48505,05/22/2022,Approved,Public Documents Available,,medical
PC-000236,Releaf Center for Compassionate Care Chesaning,Provisioning Center - License,Closed,144 W Broad ST,Chesaning,MI,48616,05/20/2023,Approved,Public Documents Available,,medical
PC-000202,The Sweet Leaf,Provisioning Center - License,Closed,400 S Dort HWY,Flint,MI,48503,05/24/2022,,Public Documents Available,,medical
PC-000114,"Weed Rx, LLC",Provisioning Center - License,Closed,600 West 7th ST,Evart,MI,49631,05/24/2020,,,,medical
PC-000180,House of Dank 4,Provisioning Center - License,Closed,8600 East 8 Mile RD Suite 28,Detroit,MI,48234,05/23/2023,Approved,Public Documents Available,,medical
PC-000192,Caldwell 5540 LLC,Provisioning Center - License,Closed,5540 East 8 Mile RD,Detroit,MI,48234,08/19/2020,,Public Documents Available,,medical
PC-000178,House of Dank Michigan LLC,Provisioning Center - License,Closed,3340 E 8 Mile RD,Detroit,MI,48234,05/20/2024,Approved,Public Documents Available,,medical
PC-000165,"420 Factory, LLC",Provisioning Center - License,Closed,7555 Greenfield RD,Detroit,MI,48228,05/16/2025,Approved,Public Documents Available,,medical
PC-000090,"Detroit Roots, Inc",Provisioning Center - License,Closed,12604 Jefferson,Detroit,MI,48215,05/15/2020,,,,medical
PC-000004,Riverside Provisioning Grayling,Provisioning Center - License,Closed,11845 M 72 HWY,Grayling,MI,49738,05/10/2021,Approved,,,medical
PC-000268,New Standard Exit 9,Provisioning Center - License,Closed,12261 Cleveland ST Suite 1,Nunica,MI,49448,05/09/2023,,Public Documents Available,,medical
PC-000177,New Standard Park Place,Provisioning Center - License,Closed,1922 Park ST Suite A,Muskegon,MI,49441,05/09/2023,Approved,Public Documents Available,,medical
PC-000160,Pure Options - Lansing Northside,Provisioning Center - License,Closed,2905 North East ST,Lansing,MI,48906,05/01/2023,,Public Documents Available,,medical
PC-000167,Pure Options - Lansing South,Provisioning Center - License,Active,5815 S Pennsylvania AVE,Lansing,MI,48911,05/01/2026,Approved,Public Documents Available,,medical
PC-000273,Puff Cannabis Company,Provisioning Center - License,Closed,1680 Marquette ST Suite A,Bay City,MI,48706,05/01/2025,Approved,Public Documents Available,,medical
PC-000023,The Refinery Detroit,Provisioning Center - License,Closed,12641 Stout ST,Detroit,MI,48223,04/25/2024,Approved,Public Documents Available,,medical
PC-000146,Detroit Compassion,Provisioning Center - License,Closed,14917 Gratiot AVE,Detroit,MI,48205,04/25/2020,,,,medical
PC-000228,Aficannado,Provisioning Center - License,Closed,2918 Blue Star HWY,Douglas,MI,49406,04/25/2023,,,,medical
PC-000052,Common Citizen,Provisioning Center - License,Closed,310 South Averill AVE,Flint,MI,48506,04/24/2023,Approved,Public Documents Available,,medical
PC-000250,Homegrown Cannabis Co.,Provisioning Center - License,Active,5025 S Pennsylvania AVE,Lansing,MI,48910,04/25/2026,Approved,,,medical
PC-000248,The River,Provisioning Center - License,Closed,101 N Front ST Suite A,Chesaning,MI,48616,04/25/2023,Approved,Public Documents Available,,medical
