License_Number,Facility_Name,DBA,Facility_Type,Street,City,ZIP_Code,Expiration_Date,Date_Updated,Category,Sheet
402R-00333,LIVWELL X LLC,LIVWELL,Retail Marijuana Store,1401 North Peoria Street,Aurora,80011,10/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00290,LIVWELL X LLC,LIVWELL,Retail Marijuana Store,19201 East Colfax Avenue,Aurora,80011,10/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00775,LIVWELL X LLC,LIVWELL,Retail Marijuana Store,1015 North 2nd Street,Berthoud,80513,8/24/2027,2026-04-02 00:00:00,Stores,Retail
402R-00085,LIVWELL X LLC,LIVWELL,Retail Marijuana Store,7795 East Belleview Avenue Unit 2,Denver,80237,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00252,LIVWELL XII LLC,LIVWELL,Retail Marijuana Store,"130 Maine Street, Unit B",Log Lane Village,80705,8/29/2027,2026-04-02 00:00:00,Stores,Retail
402R-00973,LIVWELL XIV LLC,LIVWELL,Retail Marijuana Store,137 Nickel Street,Broomfield,80020,6/10/2027,2026-04-02 00:00:00,Stores,Retail
402R-00079,LIVWELL XVI LLC,LIVWELL,Retail Marijuana Store,2020 South Colorado Boulevard,Denver,80222,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00903,LIVWELL XVI LLC,LIVWELL,Retail Marijuana Store,3600 South Wadsworth Boulevard Units C D & E,Lakewood,80235,3/22/2027,2026-04-02 00:00:00,Stores,Retail
402R-01126,LLOYD'S FROSTY NUGS LLC,JAY'S DOWNTOWN,Retail Marijuana Store,"129 N. 3rd Street Unit 1,2,3",Sterling,80751,7/7/2027,2026-04-02 00:00:00,Stores,Retail
402R-00882,LOGD LLC,LOOKOUT TOWER,Retail Marijuana Store,800 West Rio Grande Avenue,Gunnison,81230,10/19/2026,2026-04-02 00:00:00,Stores,Retail
402R-01109,LONG GONE FARMS LLC,SMOKE SIGNALS LLC,Retail Marijuana Store,"74 North McCulloch Boulevard, Suite 120",Pueblo West,81007,5/8/2027,2026-04-02 00:00:00,Stores,Retail
402R-00847,LOUISVILLE SC LLC,SOCIAL CANNABIS DISPENSARY,Retail Marijuana Store,1413 Hecla Way,Louisville,80027,12/2/2026,2026-04-02 00:00:00,Stores,Retail
402R-01006,LPCD LLC,THE DAB,Retail Marijuana Store,4490 West 121st Avenue Suite 8,Broomfield,80020,7/6/2027,2026-04-02 00:00:00,Stores,Retail
402R-00715,LS BOUTIQUES LLC,LUCY SKY CANNABIS BOUTIQUE,Retail Marijuana Store,4444 South Federal Boulevard,Sheridan,80110,1/8/2027,2026-04-02 00:00:00,Stores,Retail
402R-01003,LUCKY ME DISPENSARY LLC,LUCKY ME DISPENSARY,Retail Marijuana Store,"2648 Patterson Road, Unit C",Grand Junction,81506,5/22/2027,2026-04-02 00:00:00,Stores,Retail
402R-00908,MAGIC CITY FARMS 2 LLC,MAGIC CITY CANNABIS,Retail Marijuana Store,3819 North Quentin Street,Denver,80239,4/19/2027,2026-04-02 00:00:00,Stores,Retail
402R-00076,MAGNA MARKETING INC,HERBS 4 YOU,Retail Marijuana Store,20 East 9th Avenue,Denver,80203,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00327,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,Retail Marijuana Store,1750 30th Street Unit 84A,Boulder,80301,10/1/2026,2026-04-02 00:00:00,Stores,Retail
402R-00962,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,Retail Marijuana Store,1995 West Midway Boulevard,Broomfield,80020,4/12/2027,2026-04-02 00:00:00,Stores,Retail
402R-01083,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS CO.,Retail Marijuana Store,2489 South Academy Boulevard,Colorado Springs,80916,3/31/2027,2026-04-02 00:00:00,Stores,Retail
402R-00811,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,Retail Marijuana Store,206 Elm Drive,Log Lane Village,80705,3/15/2027,2026-04-02 00:00:00,Stores,Retail
402R-01067,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,Retail Marijuana Store,1472 East Chestnut Street,Sterling,80751,2/24/2027,2026-04-02 00:00:00,Stores,Retail
402R-01066,MAGNOLIA ROAD INC,SUGARLOAF DISPENSARY,Retail Marijuana Store,336 East Chestnut Street,Sterling,80751,2/24/2027,2026-04-02 00:00:00,Stores,Retail
402R-00821,MAGNOLIA ROAD INC,SUGARLOAF DISPENSARY,Retail Marijuana Store,411 North Commercial Street,Trinidad,81082,5/10/2027,2026-04-02 00:00:00,Stores,Retail
402R-00569,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,Retail Marijuana Store,413 North Commercial Street,Trinidad,81082,5/12/2027,2026-04-02 00:00:00,Stores,Retail
402R-00523,MAIN STREET CANNABIS,,Retail Marijuana Store,401 West Main Street,Trinidad,81082,11/18/2026,2026-04-02 00:00:00,Stores,Retail
402R-00148,MAKENA UNLIMITED LLC,MAKENA,Retail Marijuana Store,2568 South Broadway,Denver,80210,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00787,MAMMOTH DURANGO LLC,THE HOMESTEAD,Retail Marijuana Store,927 Highway 3,Durango,81301,10/26/2026,2026-04-02 00:00:00,Stores,Retail
402R-01008,MAMMOTH DURANGO LLC,MAMMOTH FARMS,Retail Marijuana Store,50562 County Road U,Saguache,81149,7/6/2027,2026-04-02 00:00:00,Stores,Retail
402R-00409,MARIPOSA MEDICINAL HOLDINGS LLC,NATURES MEDICINE SOUTH DENVER,Retail Marijuana Store,9206 East Hampden Avenue,Denver,80231,2/5/2027,2026-04-02 00:00:00,Stores,Retail
402R-00228,MC LOUD LLC,BACKCOUNTRY CANNABIS COMPANY,Retail Marijuana Store,"329 Belleview Avenue, Unit A",Crested Butte,81224,6/20/2027,2026-04-02 00:00:00,Stores,Retail
402R-00154,MEDICAL MJ SUPPLY LLC,BEST COLORADO CANNABIS,Retail Marijuana Store,4800 Lamar Street,Wheat Ridge,80033,1/2/2027,2026-04-02 00:00:00,Stores,Retail
402R-00099,MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,Retail Marijuana Store,6359 East Evans Avenue,Denver,80222,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00098,MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,Retail Marijuana Store,5440 West 44th Avenue,Mountain View,80212,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00792,MESA ORGANICS II LTD,STAR BUDS,Retail Marijuana Store,611 East 6th Street,Ordway,81063,12/13/2026,2026-04-02 00:00:00,Stores,Retail
402R-00765,MESA ORGANICS III LTD,STAR BUDS,Retail Marijuana Store,1315 Elm Avenue,Rocky Ford,81067,7/6/2027,2026-04-02 00:00:00,Stores,Retail
402R-00841,MESA ORGANICS IV LTD,STAR BUDS,Retail Marijuana Store,420 Bent Avenue,Las Animas,81054,9/30/2027,2026-04-02 00:00:00,Stores,Retail
402R-00102,METRO CANNABIS INC,SILVER STEM FINE CANNABIS,Retail Marijuana Store,8151 East Colfax Avenue,Denver,80220,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00419,MILE HIGH DISPENSARY LLC,MILE HIGH DISPENSARY,Retail Marijuana Store,1350 South Sheridan Boulevard Unit 1 & 2,Denver,80232,3/12/2027,2026-04-02 00:00:00,Stores,Retail
402R-00045,MILE HIGH MEDICAL CANNABIS LLC,LIT,Retail Marijuana Store,1630 North Federal Boulevard,Denver,80204,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00058,MILE HIGH MEDICAL CANNABIS LLC,LIT,Retail Marijuana Store,2001 South Broadway,Denver,80210,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-01139,MILE HIGH REMEDIES LLC,DOCTORS ORDERS,Retail Marijuana Store,2106 East Boulder Street,Colorado Springs,80909,9/5/2027,2026-04-02 00:00:00,Stores,Retail
402R-01039,MISSISSIPPI SOCIAL LLC,SOCIAL CANNABIS DISPENSARY,Retail Marijuana Store,8080 East Mississippi Avenue,Denver,80247,2/22/2027,2026-04-02 00:00:00,Stores,Retail
402R-00656,MJM HOLDINGS LIMITED,STICKY FINGERZ,Retail Marijuana Store,3954 North Williams Street,Denver,80205,3/15/2027,2026-04-02 00:00:00,Stores,Retail
402R-00920,MOCO VENTURES LLC,HORIZON CANNABIS,Retail Marijuana Store,6745 West Mississippi Avenue,Lakewood,80226,7/12/2027,2026-04-02 00:00:00,Stores,Retail
402R-01102,MODERN MEDICINE LLC,ALTITUDE ORGANIC CANNABIS,Retail Marijuana Store,2354 East Platte Avenue,Colorado Springs,80909,4/14/2027,2026-04-02 00:00:00,Stores,Retail
402R-01088,MODERN MEDICINE LLC,ALTITUDE ORGANIC CANNABIS,Retail Marijuana Store,6755 North Academy Boulevard,Colorado Springs,80918,4/7/2027,2026-04-02 00:00:00,Stores,Retail
402R-00580,MONTEM PHARMLABS LIMITED,NORTHERN STANDARD,Retail Marijuana Store,513 North Main Street,Alma,80420,7/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00390,MOUNTAIN ANNIES LLC,MOUNTAIN ANNIE'S,Retail Marijuana Store,439 East Main Street,Cortez,81321,1/14/2027,2026-04-02 00:00:00,Stores,Retail
402R-00480,MOUNTAIN ANNIES LLC,,Retail Marijuana Store,1644 County Road 203,Durango,81301,7/8/2027,2026-04-02 00:00:00,Stores,Retail
402R-00155,MOUNTAIN ANNIES LLC,,Retail Marijuana Store,157 Jasper Place,Ridgway,81432,1/2/2027,2026-04-02 00:00:00,Stores,Retail
402R-00455,MOUNTAIN ANNIES LLC,,Retail Marijuana Store,1330 Greene Street,Silverton,81433,5/16/2027,2026-04-02 00:00:00,Stores,Retail
402R-00050,MTB CO LLC,LAKESHORE CANNABIS,Retail Marijuana Store,2517 North Sheridan Boulevard,Edgewater,80214,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00868,MWCS LLC,ANNA,Retail Marijuana Store,735 East Jefferson Avenue,Hayden,81639,7/6/2027,2026-04-02 00:00:00,Stores,Retail
402R-00929,N FEDERAL SOCIAL LLC,SOCIAL CANNABIS DISPENSARY FEDERAL,Retail Marijuana Store,5068 North Federal Boulevard,Denver,80221,8/9/2027,2026-04-02 00:00:00,Stores,Retail
402R-00774,N&G ENTERPRISES LLC,COOKIES COMMERCE CITY,Retail Marijuana Store,5385 Quebec Street,Commerce City,80022,8/24/2027,2026-04-02 00:00:00,Stores,Retail
402R-01107,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Retail Marijuana Store,318 South 8th Street,Colorado Springs,80905,4/17/2027,2026-04-02 00:00:00,Stores,Retail
402R-01108,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Retail Marijuana Store,975 West Fillmore Street,Colorado Springs,80907,4/17/2027,2026-04-02 00:00:00,Stores,Retail
402R-01110,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Retail Marijuana Store,2103 East Platte Avenue,Colorado Springs,80909,4/21/2027,2026-04-02 00:00:00,Stores,Retail
402R-00998,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Retail Marijuana Store,286 South Purcell Boulevard,Pueblo West,81007,4/21/2027,2026-04-02 00:00:00,Stores,Retail
