"Record Type Code","Record Type","License Type","Business Entity Type","Status","County","State"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Adams","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Tate","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Jackson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Jackson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Marshall","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hinds","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Madison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Panola","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Forrest","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Simpson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hinds","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lafayette","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Oktibbeha","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lauderdale","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hancock","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hinds","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Pike","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hinds","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Prentiss","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lamar","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Forrest","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hinds","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Simpson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Harrison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Forrest","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Harrison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lauderdale","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Jones","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Warren","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Tishomingo","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hinds","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hancock","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Harrison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Oktibbeha","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Yazoo","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Prentiss","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Pearl River","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hinds","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Madison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Holmes","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lowndes","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Harrison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Warren","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Harrison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Forrest","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lowndes","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hinds","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Attala","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Grenada","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hinds","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lamar","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Harrison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Simpson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Marshall","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Harrison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Neshoba","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lauderdale","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Jackson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Neshoba","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hancock","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Oktibbeha","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
