"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"GR-C-003097","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-003096","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002986","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-003095","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002985","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-003094","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002984","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002983","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002982","Class C Grower – License","Distro10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002965","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002971","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002970","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002969","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002968","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002967","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002966","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002964","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002963","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002962","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002961","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
