Facility_ID,Enforcement_Num,Enforcement_URL,Date_Finalized,License_Type,License_Number,Status
001t000000L0TAMAA3,00151000,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00001EcYjFAAV&facilityId=001t000000L0TAMAA3,12/26/2025,Establishment,00000099ESVM28064808,Closed (Complete)
001t000000L0TANAA3,00115462,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000V0x4gAAB&facilityId=001t000000L0TANAA3,3/3/2025,Dispensary,00000071DCCX00288765,Closed (Complete)
001t000000L0TAiAAN,00156136,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00001PVA2bAAH&facilityId=001t000000L0TAiAAN,2/25/2026,Establishment,00000071ESFP14031510,Closed (Complete)
001t000000L0TAXAA3,00063216,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008Wx6eAAC&facilityId=001t000000L0TAXAA3,,Dispensary,00000075DCPP00704676,Closed (Complete)
001t000000L0TAXAA3,00087924,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs000002d3WLAAY&facilityId=001t000000L0TAXAA3,8/6/2024,Dispensary,00000075DCPP00704676,Closed (Complete)
001t000000L0TARAA3,00085003,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000Azjf2AAB&facilityId=001t000000L0TARAA3,6/6/2024,Dispensary,00000079DCUU00478781,Closed (Complete)
001t000000L0TARAA3,00034687,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000004c9SEAAY&facilityId=001t000000L0TARAA3,,Establishment,00000076ESON21559195,Closed (Complete)
001t000000L0TAQAA3,00068579,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000A3ySJAAZ&facilityId=001t000000L0TAQAA3,3/21/2024,Establishment,00000088ESUZ76069650,Closed (Complete)
001t000000L0TAQAA3,00123786,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000ZyJTVAA3&facilityId=001t000000L0TAQAA3,5/19/2025,Establishment,00000088ESUZ76069650,Closed (Complete)
001t000000L0TAQAA3,00087969,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs000002qXOYAA2&facilityId=001t000000L0TAQAA3,6/5/2025,Establishment,00000088ESUZ76069650,Closed (Complete)
001t000000L0TAQAA3,00095471,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000Pca5jAAB&facilityId=001t000000L0TAQAA3,6/5/2025,Establishment,00000088ESUZ76069650,Closed (Complete)
001t000000L0TAAAA3,00093518,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000LBfdIAAT&facilityId=001t000000L0TAAAA3,12/23/2024,Dispensary,00000080DCQI00709964,Closed (Complete)
